店舗名,エリア,インスタユーザー名,インスタURL,最終投稿日,今月の投稿数,直近の投稿内容
黒門寿し【好きやねん！大阪】,,kuromonzushi_banpaku,https://www.instagram.com/kuromonzushi_banpaku/,,,
鮮魚山長2号店,,yamacyou_nigouten,https://www.instagram.com/yamacyou_nigouten/,,,
三桂クラブ,,sankeikurabu,https://www.instagram.com/sankeikurabu/,,,
ぎふや天満橋店【イニシ】,,gihuya_tenmabashi,https://www.instagram.com/gihuya_tenmabashi/,,,
素麺 か・け・ふ,,somen_kakefu,https://www.instagram.com/somen_kakefu/,,,
鮨割烹のの 北新地,,sushi_nono_kitashinchi,https://www.instagram.com/sushi_nono_kitashinchi/,,,
鶴すし,,tsurusushi_umeda,https://www.instagram.com/tsurusushi_umeda/,,,
大衆酒場もぐら,,sakaba_mogura,https://www.instagram.com/sakaba_mogura/,,,
すさび湯三条,,susabiyu_sanjyo,https://www.instagram.com/susabiyu_sanjyo/,,,
すさび湯新宿東口店,,susabiyu.shinjyuku,https://www.instagram.com/susabiyu.shinjyuku/,,,
ナガグツ,,nagagutsu0427,https://www.instagram.com/nagagutsu0427/,,,
串かつジェット,,jet_kushikatsu,https://www.instagram.com/jet_kushikatsu/,,,
天寿し,,tensushi0207,https://www.instagram.com/tensushi0207/,,,
ステーキ＆ハンバーグKING,,steakhanbaguking,https://www.instagram.com/steakhanbaguking/,,,
ホルモン幕府,,yakitoribakuhu,https://www.instagram.com/yakitoribakuhu/,,,
炭焼き かしわや 鳥錦,,kasiwaya_torikin,https://www.instagram.com/kasiwaya_torikin/,,,
八銭梅田,,hassen.umeda,https://www.instagram.com/hassen.umeda/,,,
とりいし本店,,toriishi_honten,https://www.instagram.com/toriishi_honten/,,,
とりいし別館,,toriishi_bekkan,https://www.instagram.com/toriishi_bekkan/,,,
中村屋はなれ,,nakamuraya_hanare,https://www.instagram.com/nakamuraya_hanare/,,,
寿司 晴々,,sushi.harebare,https://www.instagram.com/sushi.harebare/,,,
鳥と旬菜878,,toritoshunsai.878,https://www.instagram.com/toritoshunsai.878/,,,
天満鮨 裏天満,,temmasushi_uratenma,https://www.instagram.com/temmasushi_uratenma/,,,
